"기간","과일","신선수산물","냉동수산물","어육","김","라면","나프타","휘발유","제트유","등유","경유","벙커C유","정제혼합용원료유","윤활유","아스팔트"
"1989.02",0,55.14,63.19,141.87,0,54.98,16.6,0,0,0,22.58,17.78,0,0,0
"1989.03",0,55.2,63.19,141.87,0,54.98,16.73,0,0,0,23.07,18.32,0,0,0
"1989.04",0,55.2,63.19,140.26,0,59.28,16.73,0,0,0,23.07,18.32,0,0,0
"1989.05",0,53.11,63.19,140.26,0,60.14,16.73,0,0,0,23.58,18.99,0,0,0
"1989.06",0,52.13,67.43,140.26,0,60.14,16.73,0,0,0,23.58,20.52,0,0,0
"1989.07",0,53.46,67.34,140.26,0,60.14,16.73,0,0,0,23.58,22.34,0,0,0
"1989.08",0,57.8,58.86,140.26,0,60.14,16.73,0,0,0,23.58,22.34,0,0,0
"1989.09",0,53.72,56.51,148.12,0,60.14,16.73,0,0,0,23.58,23.22,0,0,0
"1989.10",0,54.32,57.93,148.12,0,60.61,16.73,0,0,0,23.58,22.8,0,0,0
"1989.11",0,49.84,60.55,147.58,0,60.61,17.85,0,0,0,29.28,22.89,0,0,0
"1989.12",0,55.57,63.07,147.58,0,61.19,17.85,0,0,0,30.62,22.89,0,0,0
"1990.01",0,65.77,63.23,147.65,0,61.19,17.87,0,0,0,30.62,26.01,0,0,0
"1990.02",0,61.08,63.1,147.65,0,61.19,17.91,0,0,0,33.6,24.55,0,0,0
"1990.03",0,55.33,63.21,147.65,0,61.19,17.91,0,0,0,33.6,26.02,0,0,0
"1990.04",0,54.37,55.57,147.65,0,61.19,17.91,0,0,0,33.6,22.34,0,0,0
"1990.05",0,55.06,53.23,147.65,0,61.19,21.56,0,0,0,33.6,22.34,0,0,0
"1990.06",0,55.06,53.23,147.65,0,61.19,21.56,0,0,0,32.42,21.06,0,0,0
"1990.07",0,53.16,53.56,147.65,0,61.19,21.56,0,0,0,32.42,20.37,0,0,0
"1990.08",0,54.24,53.5,147.65,0,61.19,21.56,0,0,0,32.42,20.37,0,0,0
"1990.09",0,54.3,53.45,147.65,0,61.19,21.56,0,0,0,32.42,23,0,0,0
"1990.10",0,58.07,54.49,147.65,0,61.19,21.56,0,0,0,41.98,25.5,0,0,0
"1990.11",0,58.75,54.49,147.65,0,61.19,30.05,0,0,0,41.98,24.32,0,0,0
"1990.12",0,59.44,52.73,160.29,0,61.19,30.05,0,0,0,36.93,24.32,0,0,0
"1991.01",0,59.44,52.73,167.12,0,61.19,30.05,0,0,0,36.93,32.6,0,0,0
"1991.02",0,61.26,52.46,167.12,0,61.19,30.05,0,0,0,36.93,26.6,0,0,0
"1991.03",0,61.26,52.46,167.12,0,61.19,30.05,0,0,0,36.93,25.4,0,0,0
"1991.04",0,61.26,53.24,167.12,0,61.19,30.05,0,0,0,36.93,25.4,0,0,0
"1991.05",0,61.26,53.24,167.12,0,61.19,30.05,0,0,0,37.89,27.85,0,0,0
"1991.06",0,62.74,53.24,167.12,0,61.19,30.05,0,0,0,39.8,30.2,0,0,0
"1991.07",0,62.74,54.18,167.12,0,61.19,30.05,0,0,0,39.32,28.72,0,0,0
"1991.08",0,70.4,55.1,167.12,0,61.19,30.05,0,0,0,41.16,28.31,0,0,0
"1991.09",0,70.4,55.38,167.12,0,61.19,30.05,0,0,0,43.12,27.54,0,0,0
"1991.10",0,70.4,55.38,167.12,0,61.19,30.05,0,0,0,43.12,29.59,0,0,0
"1991.11",0,70.4,61.35,167.12,0,65.66,30.05,0,0,0,45.49,29.75,0,0,0
"1991.12",0,70.4,65.75,158.8,0,65.66,30.05,0,0,0,43.16,29.75,0,0,0
"1992.01",0,61.44,65.75,170.7,0,65.66,30.05,0,0,0,39.95,25.19,0,0,0
"1992.02",0,61.44,64.2,168.61,0,65.66,30.05,0,0,0,37.52,24.91,0,0,0
"1992.03",0,61.44,62.79,170.84,0,65.66,30.05,0,0,0,35.48,25.1,0,0,0
"1992.04",0,56.7,61.03,162.82,0,65.66,30.05,0,0,0,38.1,28.75,0,0,0
"1992.05",0,55.33,61.57,162.82,0,65.66,30.05,0,0,0,40.29,31.23,0,0,0
"1992.06",0,56.19,59.31,162.82,0,65.66,30.05,0,0,0,43.79,31.81,0,0,0
"1992.07",0,56.19,62.79,162.82,0,65.66,30.05,0,0,0,43.02,31.84,0,0,0
"1992.08",0,60.41,62.59,162.82,0,65.66,30.05,0,0,0,39.62,32.25,0,0,0
"1992.09",0,60.41,60.51,162.82,0,65.66,30.05,0,0,0,40.29,33.7,0,0,0
"1992.10",0,60.41,64.81,162.82,0,65.66,30.05,0,0,0,42.88,35.27,0,0,0
"1992.11",0,60.41,66.98,162.82,0,65.66,30.05,0,0,0,41.22,32.7,0,0,0
"1992.12",0,65.19,76,162.82,0,65.66,30.05,0,0,0,40.61,30.2,0,0,0
"1993.01",0,64.9,71.54,162.82,0,65.66,30.05,0,0,0,39.32,29.48,0,0,0
"1993.02",0,69.98,73.42,162.82,0,65.66,30.05,0,0,0,39.32,29.48,0,0,0
"1993.03",0,69.98,74.55,162.82,0,65.66,30.05,0,0,0,39.32,29.48,0,0,0
"1993.04",0,65.26,79.55,162.82,0,65.66,30.05,0,0,0,39.32,29.48,0,0,0
"1993.05",0,64.23,80.8,162.82,0,65.66,30.05,0,0,0,40.11,30.2,0,0,0
"1993.06",0,62.12,81.89,162.82,0,65.66,29.75,0,0,0,40.11,28.57,0,0,0
"1993.07",0,62.12,81.65,162.82,0,65.66,29.75,0,0,0,40.11,28.57,0,0,0
