"±â°£","½Ò","¹Ð","¿Á¼ö¼ö","Äá","°úÀÏ","¼è°í±â","µÅÁö°í±â","´ß°í±â","½Å¼±¼ö»ê¹°","³Ãµ¿¼ö»ê¹°","¿øÀ¯","Ä¡Áî","¾îÀ°"
"1994.03",0,63.55,66.42,63.8,63.54,77.32,0,0,0,58.91,26.07,0,39.15
"1994.04",0,59.58,66.42,63.8,63.54,82.8,0,0,0,56.86,25.17,0,39.15
"1994.05",0,60.77,65.38,63.8,63.54,82.8,0,0,0,55.83,27.58,0,39.15
"1994.06",0,60.77,65.63,66.07,51.25,72.09,0,0,0,57.13,29.89,0,39.15
"1994.07",0,56.32,60.32,62.71,45.8,72.09,0,0,0,58.75,31.49,0,39.15
"1994.08",0,58.73,59.9,61.78,44.75,76.71,0,0,0,58.75,34.03,0,39.15
"1994.09",0,64.66,60.09,59.35,45.8,79.66,0,0,0,58.75,32.5,0,39.15
"1994.10",0,67.14,60.57,58.76,45.8,75.06,0,0,0,58.75,31.46,0,42.5
"1994.11",0,66.33,62.34,59.87,39.45,77.14,0,0,0,58.75,31.07,0,42.5
"1994.12",0,66.17,68.25,59.35,35.66,77.14,0,0,0,58.75,32.24,0,42.5
"1995.01",0,66.22,68.26,58.76,49.38,77.57,65.46,0,0,59.07,31.7,0,42.68
"1995.02",0,62.68,68.26,58.76,52.4,78.03,65.46,0,0,63.82,32.64,0,42.68
"1995.03",0,60.56,70.81,59.88,81.51,78.47,65.46,0,0,63.82,33.46,0,42.68
"1995.04",0,60,70.81,59.88,71.91,78.03,65.46,0,0,63.82,33.75,0,44.28
"1995.05",0,63.24,71.55,59.88,71.59,74.34,65.46,0,0,63.82,35.49,0,44.28
"1995.06",0,63.24,71.98,60.43,67.8,74.34,65.46,0,0,63.82,35.23,0,44.28
"1995.07",0,77.95,74.17,61.93,56.63,74.34,65.46,0,0,63.82,33.26,0,44.28
"1995.08",0,71.51,73.21,61.36,59.6,69.16,65.46,0,0,63.82,30.86,0,44.28
"1995.09",0,77.31,74.6,63.78,60.74,69.16,65.46,0,0,63.82,30.98,0,44.28
"1995.10",0,80.42,77.02,64.9,63.07,79.45,65.46,0,0,63.82,31.63,0,41.65
"1995.11",0,81.13,77.82,66.02,59.85,77.34,65.46,0,0,63.82,30.52,0,41.26
"1995.12",0,83.74,77.82,68.93,63.2,70.96,65.46,0,0,63.82,32.58,0,41.26
"1996.01",0,79.92,77.82,69.93,66.11,70.96,66.45,0,0,63.82,34.03,0,41.26
"1996.02",0,84.8,77.82,69.93,67.1,68.33,66.9,0,0,63.82,31.7,0,41.26
"1996.03",0,80.28,82.05,69.93,80.17,66.39,68.07,0,0,63.82,33.3,0,41.26
"1996.04",0,87.21,85.77,71.11,86.11,63.22,68.07,0,0,63.82,35.38,0,35.3
"1996.05",0,94.42,92.5,74.33,83.97,63.22,69.32,0,0,63.82,34.51,0,35.3
"1996.06",0,88.2,93.87,73.22,79.81,63.22,69.32,0,0,63.82,34.68,0,35.3
"1996.07",0,78.73,92.06,73.77,78.48,64.88,69.32,0,0,65.46,35.81,0,35.3
"1996.08",0,75.97,89.21,72.97,83.65,68.33,69.32,0,0,65.46,36.66,0,35.3
"1996.09",0,75.97,78.54,72.97,81.89,72.99,69.32,0,0,62.81,40.88,0,36.42
"1996.10",0,69.96,69.42,69.61,82.19,72.99,69.58,0,0,62.81,42.74,0,40.44
"1996.11",0,66.08,65.41,66.58,92.24,72.92,69.58,0,0,62.81,42.48,0,40.44
"1996.12",0,67.34,65.41,66.58,86.49,72.77,69.58,0,0,62.81,43.13,0,40.44
"1997.01",0,67.34,65.41,68.81,73.49,72.77,66.24,0,0,62.81,44.41,0,40.44
