"기간","곡류","맥류및잡곡","콩류","과실","도축육","가금육","신선어류","냉동수산물","낙농품","수산물가공품","원당","유지","과실및채소가공품","인삼및건강보조식품"
"1987.08",0,41.2,51.28,0,72.25,0,0,40.82,0,0,47.03,33.32,0,0
"1987.09",0,44.43,51.77,0,72.25,0,0,48.72,0,0,45.09,34.89,0,0
"1987.10",0,45.4,51.77,0,74.13,0,0,48.72,0,0,47.77,34.42,0,0
"1987.11",0,46.38,52.04,0,74.13,0,0,48.72,0,0,46.33,35.37,0,0
"1987.12",0,46.56,52.04,0,74.13,0,0,48.72,0,0,46.33,41.33,0,0
"1988.01",0,48.62,54.32,0,74.13,0,0,48.72,0,0,63.37,47.63,0,0
"1988.02",0,51.91,56.55,0,74.13,0,0,48.72,0,0,65.1,41.4,0,0
"1988.03",0,52.32,56.77,0,84.79,0,0,49.42,0,0,64.61,38.87,0,0
"1988.04",0,51.42,61.01,0,85.4,0,0,53.9,0,0,63.37,39.73,0,0
"1988.05",0,50.66,62.69,0,84.79,0,0,53.9,0,0,63.37,39.39,0,0
"1988.06",0,60.24,79.48,0,78.52,0,0,53.9,0,0,65.35,41.57,0,0
"1988.07",0,66.89,81.16,0,77.25,0,0,53.9,0,0,76.77,45.08,0,0
"1988.08",0,63.87,78.93,0,79.79,0,0,53.9,0,0,76.77,42.23,0,0
"1988.09",0,63.01,78.33,0,70.36,0,0,53.9,0,0,74.34,40.23,0,0
"1988.10",0,66.01,78.5,0,69.09,0,0,53.9,0,0,76.77,40.41,0,0
"1988.11",0,64.77,76.54,0,63.43,0,0,53.9,0,0,75.58,40.52,0,0
"1988.12",0,66.73,76.54,0,63.43,0,0,53.9,0,0,74.34,40.35,0,0
"1989.01",0,67.63,75.02,0,66.59,0,0,53.9,0,0,75.58,39.45,0,0
"1989.02",0,66.98,73.07,0,67.81,0,0,53.9,0,0,75.58,38.03,0,0
"1989.03",0,67.98,73.77,0,80.41,0,0,53.9,0,0,75.58,36.94,0,0
"1989.04",0,66.24,71.44,0,78.52,0,0,53.9,0,0,75.58,36.94,0,0
"1989.05",0,67.23,73.34,0,74.75,0,0,53.9,0,0,82.88,37.7,0,0
"1989.06",0,65.17,71.76,0,74.75,0,0,53.9,0,0,82.88,36.45,0,0
"1989.07",0,61.72,69.86,0,82.29,0,0,53.9,0,0,87.75,33.85,0,0
"1989.08",0,62.24,67.14,0,80.41,0,0,53.9,0,0,88.99,31.86,0,0
"1989.09",0,61.55,63.56,0,81.63,0,0,53.9,0,0,85.31,31.45,0,0
"1989.10",0,63.3,57.75,0,77.25,0,0,53.9,0,0,92.61,32.12,0,0
"1989.11",0,64.18,59.54,0,79.79,0,0,53.9,0,0,98.72,32.48,0,0
"1989.12",0,64.13,59.54,0,85.4,0,0,53.9,0,0,96.29,30.86,0,0
"1990.01",0,61.97,58.42,50,85.78,0,0,53.9,0,19.08,96.31,30.65,39.57,0
"1990.02",0,60.45,56.86,50,81.4,0,0,53.9,0,19.08,96.31,29.79,45.36,0
"1990.03",0,60.05,57.96,50,79.3,0,0,53.9,0,19.08,99.91,30.99,51.42,0
"1990.04",0,61.45,59.47,50,86.44,0,0,53.9,0,19.08,101.17,29.48,50.12,0
"1990.05",0,61.1,60.22,50,84.42,0,0,53.9,0,19.08,94.55,31,51.1,0
"1990.06",0,60.7,58.65,50,83.21,0,0,53.9,0,19.08,90.19,30.1,46.57,0
"1990.07",0,55.35,56.63,50,82.54,0,0,53.9,0,19.08,86.5,30.1,49.09,0
"1990.08",0,54.46,60.22,50,78.37,0,0,53.9,0,19.08,75.61,30.23,49.09,0
"1990.09",0,50.86,58.19,50,77.58,0,0,53.9,0,19.08,65.8,30.2,44,0
"1990.10",0,51.03,57.55,50,77.74,0,0,53.9,0,19.08,64.63,31,50.07,0
"1990.11",0,50.82,55.29,50,78.32,0,0,53.9,0,20.12,67.81,34.85,50.07,0
"1990.12",0,53.02,55.99,50,77.91,0,0,53.9,0,20.12,67.06,36.1,33.55,0
"1991.01",0,53.6,55.52,50,71.54,0,0,53.9,0,20.12,63.37,37.38,35.14,0
"1991.02",0,54.78,56.22,50,70.92,0,0,53.9,0,22.28,62.87,35.32,37.89,0
"1991.03",0,54.44,56.22,54.2,80.55,0,0,53.9,0,24.96,65.8,35.52,38.87,0
"1991.04",0,55.78,56.22,61.95,80.83,0,0,53.9,0,24.96,65.8,32.47,38.87,0
"1991.05",0,55.67,54.54,65,72.54,0,0,53.9,0,24.19,65.8,34,38.87,0
"1991.06",0,55.69,54.31,62.75,66.8,0,0,53.9,0,24.19,68.23,31.93,38.87,0
"1991.07",0,56.17,51.82,42.85,60.18,0,0,53.9,0,30.39,80.47,34.81,38.87,0
"1991.08",0,54.68,51.06,39.1,56.41,0,0,53.9,0,34.03,65.8,34.05,38.87,0
"1991.09",0,56.71,51.06,39.15,56.45,0,0,53.9,0,37.13,68.23,32.77,38.87,0
"1991.10",0,59.7,51.06,35.35,64.52,0,0,53.9,0,39.88,68.23,34.39,38.87,0
"1991.11",0,60.58,51.06,39.1,68.56,0,0,53.9,0,39.88,68.23,35.65,38.87,0
"1991.12",0,61.93,51.06,36.55,65.86,0,0,53.9,0,39.88,68.23,36.72,38.87,0
"1992.01",0,62.57,53.73,45.3,64.51,0,0,53.9,0,47.43,63.37,37.77,38.87,0
"1992.02",0,64.09,53.73,46.75,64.76,0,0,53.9,0,58.4,63.37,38.47,45.45,0
"1992.03",0,62.49,54.54,46.85,67.57,0,0,53.9,0,55.57,63.37,40.16,46.57,0
"1992.04",0,60.29,53.96,51.8,69.43,0,0,53.9,0,55.57,63.37,41.19,46.57,0
"1992.05",0,60.06,54.83,49.45,69.1,0,0,53.9,0,55.57,65.8,39.56,46.57,0
"1992.06",0,59.31,55.41,45.4,66.58,0,0,53.9,0,55.57,71.92,41.47,46.57,0
"1992.07",0,55.65,53.15,40.5,66.85,0,0,53.9,0,55.57,71.92,40.54,46.57,0
"1992.08",0,53.42,52.92,40.65,67.23,0,0,53.9,0,42.02,70.66,38.91,46.66,0
"1992.09",0,54.51,53.15,39.45,66.46,0,0,53.9,0,42.02,72.67,39.74,46.06,0
"1992.10",0,54.46,52.86,39.45,67.47,0,0,53.9,0,42.59,68.23,40.33,45.45,0
"1992.11",0,56.23,55.52,36.2,67.73,0,0,53.9,0,42.59,68.23,42.66,44.28,0
"1992.12",0,56.8,56.22,36.2,69.67,0,0,53.9,0,42.59,68.23,41.4,44.28,0
"1993.01",0,57.18,57.55,38.7,69.67,0,0,53.9,0,42.59,65.8,41.4,43.49,0
"1993.02",0,55.8,56.86,43.6,66.03,0,0,53.9,0,42.59,65.8,43.93,43.49,0
"1993.03",0,55.95,57.32,46.9,62.24,0,0,54.28,0,42.59,67.06,43.05,43.49,0
"1993.04",0,55.42,57.32,45.25,61.41,0,0,54.28,0,36.78,78.04,43.19,41.9,0
"1993.05",0,54.14,58.48,45.25,59.23,0,0,54.28,0,36.78,80.47,40.68,41.9,0
"1993.06",0,53.57,57.09,45.25,57.34,0,0,54.28,0,36.78,80.47,38.3,46.57,0
"1993.07",0,56.28,65.61,41.1,60.33,0,0,54.28,0,36.78,73.18,38.07,48.9,0
"1993.08",0,60.31,63.35,41.5,64.69,0,0,54.28,0,36.78,70.66,37.67,48.9,0
"1993.09",0,60.77,62.71,41.5,63.64,0,0,54.28,0,36.78,70.66,37.67,48.9,0
"1993.10",0,60.61,62.71,42.8,64.4,0,0,55.84,0,36.78,70.66,35.72,55.9,0
"1993.11",0,63.15,64.16,41.5,65.47,0,0,56.87,0,36.78,70.66,36.15,55.9,0
"1993.12",0,63.56,64.16,41.5,64.78,0,0,56.87,0,36.78,70.66,36.61,55.9,0
"1994.01",0,63.4,66.07,41.5,63.64,0,0,57.89,0,36.78,65.8,42.49,53.57,0
"1994.02",0,64.4,64.91,41.5,63.55,0,0,57.89,0,37.49,70.66,42.37,53.57,0
"1994.03",0,63.8,63.81,63.55,63.27,0,0,58.91,0,39.42,78.04,42.37,52.4,0
"1994.04",0,62.35,63.81,63.55,65.93,0,0,56.87,0,39.42,73.18,45,52.4,0
"1994.05",0,62.15,63.81,63.55,66.81,0,0,55.84,0,39.42,73.18,52.56,52.4,0
"1994.06",0,62.3,66.07,51.25,64.94,0,0,57.14,0,39.42,78.04,55.48,52.4,0
"1994.07",0,57.44,62.71,45.8,67.51,0,0,58.75,0,39.42,78.04,53.26,52.4,0
"1994.08",0,58.06,61.78,44.75,73.07,0,0,58.75,0,39.42,78.04,60.01,52.4,0
"1994.09",0,60.34,59.35,45.8,77.58,0,0,58.75,0,39.42,76.78,61.3,45.17,0
"1994.10",0,61.53,58.77,45.8,74.6,0,0,58.75,0,42.79,76.53,62.22,50.54,0
"1994.11",0,62.32,59.87,39.45,77.24,0,0,58.75,0,42.79,82.06,69.37,50.54,0
"1994.12",0,65.87,59.35,35.65,76.86,0,0,58.75,0,42.79,87.84,73.48,50.54,0
"1995.01",0,65.89,58.76,49.37,73.94,0,0,59.07,0,42.98,93.04,65.21,50.48,0
"1995.02",0,64.8,58.76,52.4,74.1,0,0,63.83,0,42.98,91.74,66.96,50.48,0
"1995.03",0,65.84,59.88,81.51,74.26,0,0,63.83,0,42.98,91.74,68.41,57.94,0
"1995.04",0,65.67,59.88,71.91,74.1,0,0,63.83,0,44.58,91.74,63.74,58.06,0
"1995.05",0,67.16,59.88,71.6,71.81,0,0,63.83,0,44.58,91.74,61.86,58.06,0
"1995.06",0,67.45,60.44,67.81,69.57,0,0,63.83,0,44.58,89.74,62.65,58.06,0
"1995.07",0,73.45,61.93,56.63,67.8,0,0,63.83,0,44.58,88.09,63.69,58.06,0
"1995.08",0,70.83,61.37,59.6,66.45,0,0,63.83,0,44.58,85.4,61.74,58.06,0
