"년","월","경상수지","국고채1년","M2","WTI","Dubai","Brent","금"
"2020",10,11551.2,0.68,3152811.6,35.79,36.92,36.9,1878.81
"2020",11,9176.7,0.7,3183500.9,45.34,46.55,47.17,1776.95
"2020",12,11507.1,0.719,3197671.2,48.52,50.23,51.17,1898.36
"2020",2,6407,1.214,2954603.8,44.76,48.64,50.02,1585.85
"2020",3,5939.8,1.03,2984304.3,20.48,23.26,21.47,1577.18
"2020",4,-3297.5,0.893,3015816.4,15.06,20.82,20.66,1713.4
"2020",5,2241.2,0.779,3046050.5,35.49,34.53,36.63,1730.27
"2020",6,7164.6,0.719,3077284.1,39.27,40.49,40.89,1780.96
"2020",7,7025.4,0.689,3093300.1,40.27,42.02,42.81,1975.87
"2020",8,6641.2,0.671,3100373.4,42.61,45.42,44.39,1967.81
"2020",9,10335.3,0.705,3115238.9,39.29,40.99,40.28,1898.08
