"기간","쌀","돼지고기","쇠고기.국산.","우유","라면","스낵과자","달걀","닭고기","두부","마른멸치","고등어","파","참기름","맛김","콩나물","탄산음료","밀가루","전기료","도시가스","휘발유"
2001.08,88.357,50.433,51.179,44.374,61.722,49.859,45.742,73.075,59.597,64.135,67.792,65.37,62.294,44.622,66.347,48.862,48.323,97.167,61.494,78.261
2001.09,88.62,50.964,55.494,44.374,61.722,49.859,51.285,62.307,59.597,63.751,62.961,66.582,62.044,44.622,66.347,49.226,48.323,97.167,61.494,77.653
2001.1,87.919,48.442,57.037,44.374,61.665,49.859,50.487,69.528,59.597,62.124,65.064,59.208,62.358,44.622,66.347,48.451,48.993,97.167,61.494,77.653
2001.11,87.043,47.159,59.855,44.374,61.893,49.859,46.235,73.323,59.597,59.779,65.576,49.093,60.729,44.578,66.347,48.907,48.993,97.167,61.036,76.971
2001.12,86.781,49.769,61.731,44.374,61.893,49.652,49.956,72.64,59.597,58.822,62.677,49.357,61.355,44.578,66.347,47.494,48.814,97.167,61.087,74.846
2002.01,86.955,49.238,64.294,43.716,61.951,49.652,48.057,76.187,59.597,60.975,68.247,47.935,59.603,43.911,66.347,48.315,48.055,97.167,60.782,75.604
2002.02,86.868,49.062,64.143,43.716,61.893,49.652,47.944,73.013,59.597,61.358,69.838,46.669,60.918,44.622,68.668,48.451,47.877,97.167,53.757,75.604
2002.03,86.518,49.15,62.509,43.584,62.008,49.652,47.602,76.125,59.597,61.358,73.872,40.876,61.731,44.445,68.668,48.497,47.386,97.167,53.757,76.743
2002.04,86.168,49.504,60.116,43.584,62.008,49.652,46.35,77.059,59.597,62.506,73.816,40.876,61.481,44.445,68.668,48.816,48.055,97.074,53.757,78.641
2002.05,85.554,50.167,59.086,43.584,61.951,49.652,47.071,74.818,59.597,62.89,79.498,52.729,59.853,44.445,68.668,47.95,48.055,97.074,53.757,80.538
2002.06,85.029,52.6,60.288,43.584,62.008,49.652,46.919,66.539,59.597,62.937,82.339,50.779,60.166,44.445,68.668,47.768,47.386,97.074,53.757,80.387
2002.07,84.767,53.751,60.788,43.584,62.008,49.652,44.261,63.053,59.597,62.412,72.281,46.195,57.537,44.445,68.668,48.816,48.055,94.749,53.757,78.868
2002.08,85.205,53.751,60.91,43.584,62.008,49.652,44.755,56.331,59.597,63.416,66.939,57.416,60.166,44.445,68.668,48.36,48.055,94.749,53.757,78.337
2002.09,85.379,52.423,61.977,43.584,62.238,49.652,49.12,52.783,59.597,63.56,57.166,80.593,59.477,44.445,69.009,48.634,47.965,94.749,53.757,78.337
2002.1,85.905,50.256,62.219,43.584,62.295,49.652,45.401,53.219,59.597,61.885,51.711,53.361,59.727,44.312,69.009,48.634,48.368,94.749,53.757,80.083
2002.11,85.642,50.123,64.164,44.111,65.103,49.652,45.553,59.755,59.895,58.63,61.598,54.149,59.603,44.312,69.419,47.585,53.593,94.749,53.757,80.614
2002.12,85.905,49.902,64.92,44.111,66.651,49.942,45.439,57.14,59.895,62.028,50.063,61.262,59.352,44.312,69.419,48.907,53.906,94.749,55.895,79.476
2003.01,85.818,49.946,66.638,44.111,66.364,50.15,46.805,64.361,59.895,61.741,61.143,86.703,59.352,43.734,69.009,50.001,54.486,94.749,55.132,80.614
2003.02,85.905,49.902,66.889,44.111,66.478,50.315,45.932,58.883,59.895,61.741,58.927,96.502,60.979,45.645,68.668,50.549,54.843,92.611,56.404,82.968
2003.03,85.905,49.946,67.322,44.111,66.478,50.315,45.856,62.057,59.895,62.171,65.235,99.24,60.041,45.645,70.92,50.457,54.843,92.611,56.404,83.802
