"¿ù°£","WTI","Dubai","Brent","±Ý"
"2018.03",64.94,66.09,69.13,1325
"2018.04",68.57,70.73,74.87,1315.35
"2018.05",67.04,74.28,77.13,1298.52
"2018.06",74.15,75.56,78.6,1253.16
"2018.07",68.76,72.85,73.07,1224.09
"2018.08",69.8,75.16,77.15,1201.4
"2018.09",73.25,79.99,82.95,1192.5
"2018.10",65.31,74.9,73.86,1214.76
"2018.11",50.93,58.57,58.44,1222.5
"2018.12",45.41,52.35,53.17,1282.45
"2019.01",53.79,61.37,60.91,1321.2
"2019.02",57.22,65.64,65.79,1313.31
"2019.03",60.14,67.61,67.51,1292.3
"2019.04",63.91,72.13,71.85,1283.55
"2019.05",53.5,63.22,62.93,1305.45
"2019.06",58.47,64.79,64.43,1409.45
"2019.07",58.58,63.58,64.13,1413.9
"2019.08",55.1,59.62,59.2,1520.3
"2019.09",54.07,59.88,59.85,1472.38
"2019.10",54.18,59.3,59.55,1512.93
"2019.11",55.17,62.73,61.34,1463.94
"2019.12",61.06,65.38,66.42,1517.27
"2020.01",51.56,57.58,56.33,1586.71
"2020.02",44.76,48.64,50.02,1585.85
"2020.03",20.48,23.26,21.47,1577.18
"2020.04",15.06,20.82,20.66,1713.4
"2020.05",35.49,34.53,36.63,1730.27
"2020.06",39.27,40.49,40.89,1780.96
"2020.07",40.27,42.02,42.81,1975.87
"2020.08",42.61,45.42,44.39,1967.81
"2020.09",39.29,40.99,40.28,1898.08
"2020.10",35.79,36.92,36.9,1878.81
"2020.11",45.34,46.55,47.17,1776.95
"2020.12",48.52,50.23,51.17,1898.36
"2021.01",52.2,54.28,54.85,1847.65
"2021.02",61.5,63.06,64.43,1734.038
"2021.03",59.16,62.43,62.41,1707.71
"2021.04",63.58,64.49,66.53,1769.13
"2021.05",66.32,66.62,68.73,1906.87
"2021.06",73.47,72.97,75.12,1770.11
"2021.07",73.95,73.32,75.38,1814.18
"2021.08",68.5,69.35,71.24,1813.62
"2021.09",75.03,75.9,78.77,1756.9
"2021.10",83.57,81.94,83.92,1783.38
"2021.11",66.18,70.97,NA,1774.52
