"기간","자치구","총전입","여성전입","남성전입","총전출","여성전출","남성전출"
2014.09,"송파구",7121,3522,3599,8208,4042,4166
2014.09,"양천구",4446,2159,2287,5051,2558,2493
2014.09,"영등포구",4076,2150,1926,4695,2438,2257
2014.09,"용산구",2557,1275,1282,2997,1518,1479
2014.09,"은평구",5445,2660,2785,5959,2952,3007
2014.09,"종로구",1868,991,877,2018,1057,961
2014.09,"중구",1455,737,718,1583,794,789
2014.09,"중랑구",4821,2408,2413,4972,2503,2469
2014.1,"강남구",10106,4922,5184,8928,4308,4620
2014.1,"강동구",6150,3051,3099,7075,3541,3534
2014.1,"강북구",4359,2161,2198,4976,2466,2510
2014.1,"강서구",10326,5058,5268,8865,4420,4445
2014.1,"관악구",7978,4066,3912,8838,4551,4287
2014.1,"광진구",5154,2616,2538,6051,3051,3000
2014.1,"구로구",5133,2473,2660,6035,3058,2977
2014.1,"금천구",2894,1497,1397,3257,1673,1584
2014.1,"노원구",6572,3184,3388,7278,3530,3748
2014.1,"도봉구",4397,2155,2242,4964,2469,2495
2014.1,"동대문구",6853,3406,3447,5989,3008,2981
2014.1,"동작구",5375,2636,2739,6358,3146,3212
2014.1,"마포구",7789,3784,4005,6071,2987,3084
2014.1,"서대문구",3933,1938,1995,5010,2426,2584
2014.1,"서초구",7080,3392,3688,6107,3021,3086
2014.1,"성동구",4301,2174,2127,5221,2626,2595
2014.1,"성북구",5415,2629,2786,6805,3302,3503
2014.1,"송파구",8258,4090,4168,10045,4955,5090
2014.1,"양천구",5640,2829,2811,6303,3145,3158
2014.1,"영등포구",5036,2566,2470,5813,2959,2854
2014.1,"용산구",3081,1548,1533,3716,1868,1848
2014.1,"은평구",6917,3340,3577,7433,3663,3770
2014.1,"종로구",2012,991,1021,2325,1166,1159
2014.1,"중구",1761,912,849,1963,975,988
2014.1,"중랑구",5759,2850,2909,5975,2971,3004
2014.11,"강남구",9280,4503,4777,8025,3882,4143
2014.11,"강동구",5474,2702,2772,6361,3159,3202
2014.11,"강북구",3892,1911,1981,4244,2097,2147
2014.11,"강서구",8029,3937,4092,7310,3598,3712
2014.11,"관악구",6757,3488,3269,7704,4035,3669
2014.11,"광진구",4504,2162,2342,5354,2622,2732
2014.11,"구로구",4657,2335,2322,5254,2649,2605
2014.11,"금천구",2691,1402,1289,2980,1557,1423
2014.11,"노원구",5906,2868,3038,6946,3368,3578
2014.11,"도봉구",3832,1908,1924,4302,2143,2159
2014.11,"동대문구",5276,2656,2620,5028,2549,2479
2014.11,"동작구",4636,2304,2332,5435,2734,2701
2014.11,"마포구",7979,3834,4145,5873,2841,3032
2014.11,"서대문구",3437,1670,1767,4300,2111,2189
2014.11,"서초구",5540,2699,2841,5688,2770,2918
2014.11,"성동구",3874,1957,1917,4448,2282,2166
2014.11,"성북구",5126,2467,2659,6255,3073,3182
2014.11,"송파구",7637,3790,3847,8786,4279,4507
2014.11,"양천구",4823,2392,2431,5152,2593,2559
2014.11,"영등포구",4264,2113,2151,5114,2590,2524
2014.11,"용산구",2652,1304,1348,3337,1609,1728
2014.11,"은평구",5739,2834,2905,6405,3157,3248
2014.11,"종로구",1741,922,819,2091,1092,999
2014.11,"중구",1566,795,771,1928,948,980
2014.11,"중랑구",4987,2487,2500,5147,2638,2509
2014.12,"강남구",10619,5091,5528,9428,4652,4776
2014.12,"강동구",6021,2999,3022,6924,3444,3480
2014.12,"강북구",3851,1911,1940,4339,2121,2218
2014.12,"강서구",7857,3765,4092,7362,3600,3762
2014.12,"관악구",7596,3886,3710,8094,4210,3884
2014.12,"광진구",4777,2335,2442,5468,2695,2773
2014.12,"구로구",4902,2447,2455,5703,2808,2895
2014.12,"금천구",2752,1427,1325,3116,1592,1524
2014.12,"노원구",6457,3165,3292,8019,3957,4062
2014.12,"도봉구",3813,1826,1987,4552,2229,2323
2014.12,"동대문구",5012,2508,2504,5199,2594,2605
2014.12,"동작구",5374,2647,2727,6312,3178,3134
2014.12,"마포구",7236,3538,3698,6173,2987,3186
2014.12,"서대문구",4127,2028,2099,4782,2382,2400
2014.12,"서초구",6564,3233,3331,6740,3307,3433
2014.12,"성동구",3802,1888,1914,4560,2292,2268
2014.12,"성북구",5484,2671,2813,6896,3359,3537
2014.12,"송파구",8320,4051,4269,9679,4766,4913
2014.12,"양천구",5436,2612,2824,6021,3004,3017
2014.12,"영등포구",5118,2598,2520,5742,2933,2809
2014.12,"용산구",3002,1513,1489,3498,1717,1781
2014.12,"은평구",6093,2938,3155,6687,3214,3473
2014.12,"종로구",1975,938,1037,2418,1215,1203
2014.12,"중구",1612,824,788,2037,1094,943
2014.12,"중랑구",5153,2576,2577,5752,2859,2893
2015.01,"강남구",9034,4402,4632,8464,4099,4365
2015.01,"강동구",4969,2425,2544,5823,2881,2942
2015.01,"강북구",3136,1522,1614,3251,1573,1678
2015.01,"강서구",6726,3229,3497,6236,3053,3183
2015.01,"관악구",7257,3715,3542,7193,3755,3438
2015.01,"광진구",4193,1989,2204,4529,2212,2317
2015.01,"구로구",4162,2027,2135,4599,2264,2335
2015.01,"금천구",2394,1204,1190,2356,1224,1132
2015.01,"노원구",5538,2680,2858,6198,3024,3174
2015.01,"도봉구",3203,1548,1655,3495,1727,1768
2015.01,"동대문구",4255,2184,2071,4560,2296,2264
2015.01,"동작구",4830,2356,2474,5157,2564,2593
2015.01,"마포구",6298,2963,3335,5205,2529,2676
2015.01,"서대문구",3471,1626,1845,3969,1962,2007
2015.01,"서초구",6405,3040,3365,5998,2972,3026
2015.01,"성동구",3555,1786,1769,3807,1928,1879
2015.01,"성북구",4844,2390,2454,5329,2634,2695
2015.01,"송파구",7394,3589,3805,7832,3798,4034
2015.01,"양천구",5018,2463,2555,4873,2432,2441
2015.01,"영등포구",4744,2415,2329,4591,2355,2236
2015.01,"용산구",2779,1337,1442,3061,1518,1543
2015.01,"은평구",5374,2626,2748,5316,2572,2744
2015.01,"종로구",1815,930,885,2095,1057,1038
2015.01,"중구",1539,782,757,1675,865,810
2015.01,"중랑구",4025,2019,2006,4401,2196,2205
2015.02,"강남구",10399,4957,5442,10042,4906,5136
2015.02,"강동구",5533,2766,2767,7207,3556,3651
2015.02,"강북구",3212,1546,1666,3405,1679,1726
2015.02,"강서구",7694,3701,3993,7409,3665,3744
2015.02,"관악구",8173,4250,3923,8077,4215,3862
2015.02,"광진구",4897,2351,2546,4961,2407,2554
2015.02,"구로구",4516,2163,2353,4982,2466,2516
2015.02,"금천구",2245,1187,1058,2393,1248,1145
2015.02,"노원구",6778,3386,3392,7282,3620,3662
2015.02,"도봉구",3338,1645,1693,3545,1809,1736
2015.02,"동대문구",5141,2558,2583,5096,2589,2507
2015.02,"동작구",6001,3023,2978,6425,3193,3232
2015.02,"마포구",7242,3523,3719,6158,3041,3117
2015.02,"서대문구",4313,2111,2202,4815,2403,2412
2015.02,"서초구",7328,3550,3778,7585,3690,3895
2015.02,"성동구",3941,2002,1939,4186,2137,2049
2015.02,"성북구",6240,3023,3217,6371,3109,3262
2015.02,"송파구",9183,4482,4701,9245,4539,4706
2015.02,"양천구",5858,2935,2923,6072,3015,3057
2015.02,"영등포구",5011,2570,2441,5323,2710,2613
2015.02,"용산구",3023,1468,1555,3113,1554,1559
2015.02,"은평구",6057,2933,3124,5855,2901,2954
2015.02,"종로구",2203,1107,1096,2433,1267,1166
2015.02,"중구",1634,851,783,1691,871,820
2015.02,"중랑구",4208,2095,2113,4633,2301,2332
2015.03,"강남구",9810,4784,5026,11548,5602,5946
2015.03,"강동구",8071,4025,4046,10473,5299,5174
2015.03,"강북구",4364,2167,2197,4656,2355,2301
2015.03,"강서구",9290,4584,4706,8979,4473,4506
2015.03,"관악구",10256,5413,4843,10075,5300,4775
2015.03,"광진구",6199,3082,3117,6531,3322,3209
2015.03,"구로구",5755,2812,2943,5696,2895,2801
2015.03,"금천구",3303,1765,1538,3438,1848,1590
2015.03,"노원구",7310,3636,3674,8141,4017,4124
2015.03,"도봉구",4602,2261,2341,4756,2358,2398
2015.03,"동대문구",6421,3345,3076,6362,3307,3055
2015.03,"동작구",7086,3547,3539,6861,3463,3398
2015.03,"마포구",7564,3688,3876,7468,3640,3828
2015.03,"서대문구",5164,2552,2612,5557,2790,2767
2015.03,"서초구",7995,3846,4149,9888,4840,5048
2015.03,"성동구",4717,2376,2341,4887,2474,2413
2015.03,"성북구",7160,3483,3677,7478,3724,3754
2015.03,"송파구",10411,5122,5289,10612,5289,5323
2015.03,"양천구",5933,2994,2939,6371,3198,3173
2015.03,"영등포구",5967,3049,2918,6295,3270,3025
2015.03,"용산구",3800,1917,1883,4113,2051,2062
2015.03,"은평구",7786,3769,4017,7723,3776,3947
2015.03,"종로구",3048,1584,1464,3038,1560,1478
2015.03,"중구",2050,1080,970,2198,1156,1042
2015.03,"중랑구",6331,3109,3222,6623,3323,3300
2015.04,"강남구",8496,4184,4312,9887,4893,4994
2015.04,"강동구",6801,3406,3395,9303,4733,4570
